gamble_id,gain,loss,stage1_outcome,signal_to_noise,BF
1,200,-200,x_G,0.0,-11.076759391950532
2,120,-100,x_G,0.09090909090909091,-25.281583860280175
3,180,-200,x_G,-0.05263157894736842,-13.584234184871084
4,200,-120,x_G,0.25,-28.950392748166784
5,200,-220,x_G,-0.047619047619047616,-14.581087147610695
6,200,-100,x_G,0.3333333333333333,-35.29507133539348
7,140,-100,x_G,0.16666666666666666,-23.145147808058645
8,200,-140,x_G,0.17647058823529413,-17.102510388804955
10,160,-140,x_L,0.06666666666666667,-15.67223783955323
11,180,-100,x_L,0.2857142857142857,-34.48604843327272
12,100,-120,x_L,-0.09090909090909091,-6.625892510820372
13,200,-160,x_L,0.1111111111111111,-26.229251315981717
14,160,-100,x_L,0.23076923076923078,-24.446095489606513
15,200,-180,x_L,0.05263157894736842,-19.618525925561116
16,80,-100,x_L,-0.1111111111111111,-14.34595375352827
17,100,-100,x_L,0.0,-14.211742558365117
